cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
23000011001.0,LEWISTON-AUBURN W W T P,ME,Lewiston,44.0756,-70.2044,14.2,18323.81710941296,2393.928450797089,2039.580524782927,1006.408027432773,0.0,0.0,136.6729471624266,371.7133398869837,24272.12039947516,['*A1e'],53752.847332800004
53000776001.0,King County South Treatment Plant,WA,Renton,47.4708,-122.243,122.0,158451.1732635678,109627.1096974963,17335.03169279165,17714.47003921314,0.0,0.0,0.0,6109.54067409423,309237.3253671632,['F1e'],461820.237648
55000380001.0,BEAVER DAM WWTP,WI,Beaver Dam,43.4442,-88.844,5.6,7276.898136060385,5573.360636133963,811.6873498997445,4901.393307617461,0.0,0.0,0.0,762.520939615019,19325.86036932658,['*E1e'],21198.3059904
36001010006.0,NCSD #3 - Cedar Creek STP,NY,Wantagh,40.652306,-73.506472,72.0,92909.49520265724,12138.22876460496,10341.53505523738,22297.25269337304,0.0,0.0,754.5177001174169,2052.083460095271,140493.1128760853,['*A1e'],272549.648448
55002220001.0,HUDSON WWTP,WI,Hudson,44.966498,-92.756109,2.2,2815.221767209648,359.913047411806,314.8494353285004,349.0692999988334,0.0,0.0,275.3599975870393,0.0,4114.413547535827,['*C1e'],8327.905924800001
42001006001.0,Capital Region Water,PA,Harrisburg,40.2391,-76.8561,15.2,19741.45765251008,13658.4595688684,2159.774440413386,11047.63220978731,0.0,0.0,54.6111884148728,1198.177266975183,47860.11232696923,['F1e'],57538.2591168
18000328001.0,TERRE HAUTE WWTP,IN,Terre Haute,39.4289,-87.4319,24.0,31186.70629740165,23885.83129771698,3478.660070998905,18286.51411277841,0.0,0.0,0.0,3267.946884064367,80105.65866296033,['*E1e'],90849.88281600001
6002033001.0,NAPA SANIT. DIST WWRF,CA,Napa,38.2356096,-122.2843624,15.4,19872.30869612391,2596.232263540505,2211.939442370217,2413.371872975506,0.0,0.0,0.0,588.6476825095511,27682.49995751969,['*A1e'],58295.341473600005
48004122001.0,Village Creek Water Reuse Facility,TX,Arlington,32.779848,-97.143936,166.0,215708.0518903614,165210.3331425425,24060.73215774243,88434.58911374028,0.0,0.0,104.7781996086106,13686.36330141254,507204.8478054078,['*E1e'],628378.3561440001
34001030001.0,Joint Meeting of Essex & Union - CSO/STP,NJ,Elizabeth,40.64039588,-74.20184723,85.0,109684.8207253593,14329.85340265863,12208.75666243301,18139.64926034314,0.0,0.0,0.0,2996.482674367247,157359.5627251613,['*A1e'],321760.00164000003
12000065002.0,Clearwater East WRF,FL,Clearwater,27.960556,-82.706389,5.0,6452.048277962309,842.9325530975667,718.1621566137068,1886.52526777375,0.0,0.0,625.8181763341801,0.0,10525.48643178151,['*A1e'],18927.05892
12000017028.0,MDWASD South District WWTP,FL,Miami,25.5508,-80.3333,112.5,146238.0642573931,18534.60992340201,16284.81700423323,34100.47093902524,0.0,0.0,2.066568767123288,6118.864692799282,221278.89338562,['*B1e'],425858.8257
