plant_index,state,flow_m3_per_day,median_bootstrap_all,p2_5_bootstrap_all,p97_5_bootstrap_all,mean_bootstrap_all,elec_mu_usd_per_kwh_bootstrap_all,ng_mu_usd_per_mj_bootstrap_all,median_bootstrap_biogas,p2_5_bootstrap_biogas,p97_5_bootstrap_biogas,mean_bootstrap_biogas,elec_mu_usd_per_kwh_bootstrap_biogas,ng_mu_usd_per_mj_bootstrap_biogas,median_heavy_tail,p2_5_heavy_tail,p97_5_heavy_tail,mean_heavy_tail,elec_mu_usd_per_kwh_heavy_tail,ng_mu_usd_per_mj_heavy_tail
0,ME,53752.8473328,56680.411527773074,1911.4282401484086,333295.3831898603,86930.30475073791,0.12300000000000001,0.009542088173116978,28389.32533802658,7997.590364213558,230328.70683949033,44926.417708186,0.12300000000000001,0.009542088173116978,17625.663761066506,3520.9256814751316,85781.79322847723,24527.60527287028,0.12300000000000001,0.009542088173116978
1,WA,461820.237648,323517.59846289677,11496.136762361553,1882615.0089404094,495185.29026776855,0.0635,0.010391288364600118,163605.18373157654,42922.44007643468,1269864.838976154,247695.95887559094,0.0635,0.010391288364600118,100923.40117094861,20296.933434758706,488103.6024964319,139204.7541329041,0.0635,0.010391288364600118
2,WI,21198.3059904,15485.67929030885,531.4293590279561,89475.65362945142,23886.202039039345,0.0868,0.006263992810294974,7921.761881058823,2198.6630121421845,61582.517871130214,11982.630873146536,0.0868,0.006263992810294974,4861.241872286761,989.3097173178393,22932.75262512071,6760.847158683601,0.0868,0.006263992810294974
3,NY,272549.648448,182785.14704460313,6953.629141178842,1087505.6967939513,286623.37434598187,0.0687,0.009496432248843693,96996.36591392031,26401.16718986285,783273.6268125231,150984.48072061146,0.0687,0.009496432248843693,59415.25924392098,11937.231291375376,300414.9566866956,83614.85357887756,0.0687,0.009496432248843693
4,WI,8327.905924800001,6018.057939009065,206.33864690714555,35780.4876686786,9389.268373216933,0.0868,0.006263992810294974,3061.3826874974116,843.5957547808837,24163.74310526404,4700.622001498674,0.0868,0.006263992810294974,1924.681057651258,387.87317877659257,9249.7991756492,2684.303969433437,0.0868,0.006263992810294974
5,PA,57538.2591168,46285.40694798916,1635.862623907249,269697.03396333905,71145.16709750138,0.0775,0.010747404573931755,22683.941299675083,6341.157938459309,184261.50329997836,35395.56364372435,0.0775,0.010747404573931755,14208.069182284771,2837.5765121394484,70477.46662851363,19953.2976763479,0.0775,0.010747404573931755
6,IN,90849.882816,64536.53296373782,2180.0829171155347,372931.39604386094,97651.36578738698,0.0824,0.006218336886021686,32430.70442426777,8663.265507699134,258840.0884724229,49947.24653489174,0.0824,0.006218336886021686,20101.675900660914,3923.567378680045,98658.50745813023,27829.75850145188,0.0824,0.006218336886021686
7,CA,58295.341473600005,89438.22708683863,3293.0775518313403,533123.825778284,138307.6396862877,0.1864,0.012847577090502956,45516.87320356043,12430.280591357941,378653.60115920985,71636.1823515746,0.1864,0.012847577090502956,28674.51605203888,5743.538394088517,142901.1054742906,39930.37858422478,0.1864,0.012847577090502956
8,TX,628378.3561440001,304632.59657874017,11511.415553176965,1795843.432976494,470055.3034801226,0.066,0.0022554026591003772,155802.16430592013,42371.85893095134,1232079.1747738926,237631.4037521078,0.066,0.0022554026591003772,95331.20394731866,19351.671609153913,480985.78147311835,134589.60059799004,0.066,0.0022554026591003772
9,NJ,321760.00164000003,313209.4184749738,12250.958011334667,1848397.9886901972,479346.7349814121,0.1168,0.008409821251139463,161483.86514237378,44419.73988296724,1299731.3313255792,251710.0940459213,0.1168,0.008409821251139463,98414.11244012223,19181.30788398786,499729.31494776683,137946.41648871332,0.1168,0.008409821251139463
10,FL,18927.05892,14708.969682108567,497.13287392246997,88442.48861499198,22744.633097606602,0.09390000000000001,0.0065470595407893534,7423.6920857164005,2031.4152376893906,59915.660056834575,11390.048678273106,0.09390000000000001,0.0065470595407893534,4690.7617662628,929.9787119614712,23869.284795623,6585.331483231075,0.09390000000000001,0.0065470595407893534
11,FL,425858.8257,324714.10874910676,12844.735107092514,1981674.117893541,509788.06079588644,0.09390000000000001,0.0065470595407893534,167685.51884794008,45915.196455114325,1347468.3788345214,261973.87028358594,0.09390000000000001,0.0065470595407893534,104116.10801127544,21447.46541450936,525452.8956316921,146095.4921036358,0.09390000000000001,0.0065470595407893534
12,TN,340687.06056,182660.9103805814,5850.833955960053,1067449.5410236914,282243.60212786234,0.0623,0.005031282854916225,94006.57637141223,25481.272347440627,735812.5576545167,143404.64312176371,0.0623,0.005031282854916225,57378.64813983697,11649.034392032252,280186.82690075797,80466.97588393104,0.0623,0.005031282854916225
13,NY,49588.894370400005,34583.17951786579,1296.566714032476,200172.8858397577,53798.17520199586,0.0687,0.009496432248843693,17438.201623692297,4882.13855830786,138012.71666746368,26819.292411602717,0.0687,0.009496432248843693,10921.39779062304,2131.716954578808,55425.07747469703,15275.15098451309,0.0687,0.009496432248843693
