State,Price ($/kWh)
AK,0.187
AL,0.0711
AR,0.0687
AZ,0.08109999999999999
CA,0.1864
CO,0.085
CT,0.15689999999999998
DC,0.1085
DE,0.0785
FL,0.09390000000000001
GA,0.0688
HI,0.3528
IA,0.0691
ID,0.0717
IL,0.08199999999999999
IN,0.0824
KS,0.0764
KY,0.0655
LA,0.0588
MA,0.1788
MD,0.09939999999999999
ME,0.12300000000000001
MI,0.0816
MN,0.092
MO,0.079
MS,0.0696
MT,0.078
NC,0.07150000000000001
ND,0.0737
NE,0.07629999999999999
NH,0.1576
NJ,0.1168
NM,0.0575
NV,0.1036
NY,0.0687
OH,0.0703
OK,0.0626
OR,0.07519999999999999
PA,0.0775
RI,0.1898
SC,0.0668
SD,0.0801
TN,0.0623
TX,0.066
UT,0.0699
VA,0.0892
VT,0.1127
WA,0.0635
WI,0.0868
WV,0.0724
WY,0.0706
