source,flow_m3_per_day,size_PE,ch4_kg_per_hr,has_ad,reported_biogas_production,biogas_production_kgCH4_per_hr
"Moore et al., 2023",2233.39295256,,7.2,no,no,
"Moore et al., 2023",227.12470704,,0.936,no,no,
"Moore et al., 2023",984.20706384,,0.396,no,no,
"Moore et al., 2023",1930.56000984,,0.36000000000000004,no,no,
"Moore et al., 2023",18927.05892,,7.2,yes,no,
"Moore et al., 2023",35961.411948,,46.080000000000005,no,no,
"Moore et al., 2023",29526.2119152,,34.56,no,no,
"Moore et al., 2023",28390.58838,,38.519999999999996,yes,no,
"Moore et al., 2023",28390.58838,,90.36000000000001,yes,no,
"Moore et al., 2023",18927.05892,,9.360000000000001,no,no,
"Moore et al., 2023",18927.05892,,1.548,no,no,
"Moore et al., 2023",186999.3421296,,112.68,yes,no,
"Moore et al., 2023",186999.3421296,,99.72,yes,no,
"Moore et al., 2023",43532.235516,,7.5600000000000005,yes,no,
"Moore et al., 2023",43532.235516,,19.08,yes,no,
"Moore et al., 2023",43532.235516,,14.76,yes,no,
"Moore et al., 2023",43532.235516,,11.520000000000001,yes,no,
"Moore et al., 2023",43532.235516,,20.88,yes,no,
"Moore et al., 2023",38232.6590184,,5.04,no,no,
"Moore et al., 2023",638598.9679608,,269.28,yes,no,
"Moore et al., 2023",299804.61329280003,,69.48,yes,no,
"Moore et al., 2023",299804.61329280003,,41.04,yes,no,
"Moore et al., 2023",676074.5446224001,,239.04000000000002,yes,no,
"Moore et al., 2023",676074.5446224001,,132.12,yes,no,
"Moore et al., 2023",676074.5446224001,,161.28,yes,no,
"Moore et al., 2023",2801.2047201600003,,4.680000000000001,no,no,
"Moore et al., 2023",2801.2047201600003,,0.8280000000000001,no,no,
"Moore et al., 2023",14006.023600800001,,7.920000000000001,no,no,
"Moore et al., 2023",3785.4117840000004,,0.468,no,no,
"Moore et al., 2023",6056.658854400001,,0.14400000000000002,no,no,
"Moore et al., 2023",20441.223633600002,,7.5600000000000005,yes,no,
"Moore et al., 2023",40125.3649104,,38.88,yes,no,
"Moore et al., 2023",40125.3649104,,73.44,yes,no,
"Moore et al., 2023",18927.05892,,0.18000000000000002,no,no,
"Moore et al., 2023",26119.3413096,,3.9600000000000004,no,no,
"Moore et al., 2023",13627.4824224,,0.864,yes,no,
"Moore et al., 2023",76465.3180368,,15.48,yes,no,
"Moore et al., 2023",76465.3180368,,34.56,yes,no,
"Moore et al., 2023",192298.9186272,,165.96,no,no,
"Moore et al., 2023",21198.3059904,,6.12,no,no,
"Moore et al., 2023",4163.952962400001,,0.468,no,no,
"Moore et al., 2023",6435.2000328,,0.432,yes,no,
"Moore et al., 2023",6056.658854400001,,1.548,yes,no,
"Moore et al., 2023",26119.3413096,,0.864,no,no,
"Moore et al., 2023",19305.600098400002,,1.0080000000000002,no,no,
"Moore et al., 2023",731341.5566688001,,54.0,yes,no,
"Moore et al., 2023",304725.648612,,178.56,yes,no,
"Moore et al., 2023",190406.2127352,,194.76000000000002,yes,no,
"Moore et al., 2023",107505.69466560001,,54.36,yes,no,
"Moore et al., 2023",107505.69466560001,,31.680000000000003,yes,no,
"Moore et al., 2023",41639.529624,,1.4400000000000002,yes,no,
"Moore et al., 2023",38232.6590184,,4.32,no,no,
"Moore et al., 2023",38232.6590184,,4.680000000000001,no,no,
"Moore et al., 2023",38232.6590184,,3.6,no,no,
"Moore et al., 2023",361128.2841936,,25.56,yes,no,
"Moore et al., 2023",26119.3413096,,2.628,no,no,
"Moore et al., 2023",643.52000328,,0.036000000000000004,yes,no,
"Moore et al., 2023",3785.4117840000004,,3.204,no,no,
"Moore et al., 2023",1249.18588872,,0.324,no,no,
"Moore et al., 2023",6056.658854400001,,1.9440000000000002,no,no,
"Moore et al., 2023",6056.658854400001,,2.592,no,no,
"Moore et al., 2023",1022.06118168,,0.36000000000000004,no,no,
"Moore et al., 2023",5678.117676,,0.18000000000000002,no,no,
"Moore et al., 2023",3785.4117840000004,,0.108,no,no,
"Moore et al., 2023",3785.4117840000004,,0.25200000000000006,yes,no,
"Moore et al., 2023",14763.1059576,,12.96,yes,no,
"Moore et al., 2023",14763.1059576,,5.04,yes,no,
"Moore et al., 2023",107505.69466560001,,48.24,yes,no,
"Moore et al., 2023",107505.69466560001,,18.36,yes,no,
"Moore et al., 2023",4921.0353192,,2.952,yes,no,
"Moore et al., 2023",12113.317708800001,,6.84,no,no,
"Moore et al., 2023",12113.317708800001,,1.08,no,no,
"Moore et al., 2023",2574.08001312,,2.8440000000000003,yes,no,
"Moore et al., 2023",2574.08001312,,0.684,yes,no,
"Moore et al., 2023",4542.4941408,,0.07200000000000001,no,no,
"Moore et al., 2023",214254.3069744,,81.0,yes,no,
"Moore et al., 2023",10977.6941736,,5.04,no,no,
"Moore et al., 2023",10977.6941736,,1.872,no,no,
"Moore et al., 2023",10977.6941736,,1.116,no,no,
"Moore et al., 2023",26876.423666400002,,10.8,yes,no,
"Moore et al., 2023",4542.4941408,,7.2,no,no,
"Moore et al., 2023",10599.1529952,,0.324,no,no,
"Moore et al., 2023",11356.235352,,1.764,no,no,
"Moore et al., 2025",2271.2470704,,6.5754094193415,unknown,no,
"Moore et al., 2025",319.4887545696,,0.591890392604725,unknown,no,
"Moore et al., 2025",984.20706384,,0.1877447171317771,yes,no,
"Moore et al., 2025",1646.6541260400002,,0.12515116672792248,unknown,no,
"Moore et al., 2025",26497.882488,,,unknown,no,
"Moore et al., 2025",146873.9772192,,98.01920849892625,yes,no,
"Moore et al., 2025",19484.77625617599,,25.02676774999204,yes,no,
"Moore et al., 2025",35961.411948,,28.140715818206665,yes,no,
"Moore et al., 2025",96442.82872686001,,39.217087243408244,unknown,no,
"Moore et al., 2025",29639.77426872,,95.892129207435,unknown,no,
"Moore et al., 2025",39898.24020336,,116.19748764286916,yes,no,
"Moore et al., 2025",20074.038690552,,6.828796990119667,no,no,
"Moore et al., 2025",37475.576661600004,,2.730910756975633,unknown,no,
"Moore et al., 2025",181489.46497733318,,118.3689916535704,yes,no,
"Moore et al., 2025",26690.127329315983,,15.772775660156082,yes,no,
"Moore et al., 2025",39296.359729704,,17.2987318412065,yes,no,
"Moore et al., 2025",5848.461206280001,,2.4728268816558496,no,no,
"Moore et al., 2025",32611.32251916,,2.101527784029071,no,no,
"Moore et al., 2025",622700.238468,,107.75515862705998,yes,no,
"Moore et al., 2025",314729.95118399983,,31.901965175194626,yes,no,
"Moore et al., 2025",697056.5413679994,,167.50569483984626,yes,no,
"Moore et al., 2025",2649.7882488,,3.349400403972083,yes,no,
"Moore et al., 2025",7934.223099264001,,1.399207954431775,yes,no,
"Moore et al., 2025",13344.838342527988,,9.777500554149666,no,no,
"Moore et al., 2025",26611.444841520002,,,unknown,no,
"Moore et al., 2025",19824.201512808002,,2.258039717744079,yes,no,
"Moore et al., 2025",3777.840960432,,0.2474119977920687,no,no,
"Moore et al., 2025",6738.03297552,,,yes,no,
"Moore et al., 2025",25135.13424576,,11.329341822263459,unknown,no,
"Moore et al., 2025",6208.07532576,,0.07107774709720374,no,no,
"Moore et al., 2025",21747.19069908,,7.267522477183499,yes,no,
"Moore et al., 2025",42680.5178646,,59.66222476076708,yes,no,
"Moore et al., 2025",17295.546441096,,0.09196284621494331,no,no,
"Moore et al., 2025",122261.229799632,,17.624407223248,yes,no,
"Moore et al., 2025",10178.972287175962,,14.859984021016416,no,no,
"Moore et al., 2025",20630.4942228,,3.5952112518224957,no,no,
"Moore et al., 2025",14286.144072816001,,43.163361721148334,unknown,no,
"Moore et al., 2025",11235.102174912001,,0.451999882162975,unknown,no,
"Moore et al., 2025",2084.373908663199,,3.0053099756207455,yes,no,
"Moore et al., 2025",73184.62782399986,,14.097855901767957,yes,no,
